Price,Close,High,Low,Open,Volume
Ticker,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW
Date,,,,,
2015-06-03,249963.453125,251661.1875,247469.515625,250018.40625,19645693460
2015-06-04,249616.53125,252053.234375,249257.828125,249850.59375,16388693275
2015-06-05,252742.5625,253355.328125,248128.1875,249427.375,20287200010
2015-06-06,253491.96875,253604.3125,252098.78125,252802.125,12506685510
2015-06-07,250417.9375,254138.0,250274.203125,253466.125,14963888320
2015-06-08,255448.421875,256738.09375,249780.234375,250415.703125,26136817416
2015-06-09,256561.25,258400.5625,255485.609375,255503.1875,31758874372
2015-06-10,253914.125,255565.828125,253175.453125,256501.875,17650351800
2015-06-11,255303.328125,255908.734375,254480.40625,253971.828125,16022519040
2015-06-12,255413.40625,256819.859375,254537.4375,255303.328125,15567777266
2015-06-13,258101.0,258378.65625,254556.046875,255344.546875,14776600074
2015-06-14,259440.578125,260828.59375,257659.0,258145.4375,13514976651
2015-06-15,264185.53125,265180.0,259868.703125,259306.15625,22212744034
2015-06-16,280452.9375,281570.90625,263866.34375,264120.8125,46514309720
2015-06-17,277455.59375,287397.96875,275264.40625,280372.46875,48814837784
2015-06-18,274963.5,277800.34375,270102.125,277615.84375,34209576048
2015-06-19,269604.75,277851.625,268702.03125,275003.25,26414553660
2015-06-20,270272.6875,270951.625,265219.09375,269520.96875,22714247820
2015-06-21,268931.1875,270285.90625,266602.34375,270149.21875,11686750187
2015-06-22,271609.96875,272721.09375,267947.25,268958.75,19456088400
2015-06-23,269932.4375,273147.28125,268610.90625,271540.6875,16694206978
2015-06-24,266723.90625,269972.375,266723.90625,269916.9375,19234973753
2015-06-25,269766.6875,270074.1875,266733.03125,266557.59375,17925003417
2015-06-26,273300.28125,273474.1875,271148.0625,269550.03125,15688787825
2015-06-27,281598.25,281989.78125,272765.125,273249.78125,22987184770
2015-06-28,279427.6875,281802.4375,277608.59375,281558.96875,16986657840
2015-06-29,287664.90625,287846.03125,280076.21875,279102.25,38878694816
2015-06-30,294227.59375,299279.78125,286557.15625,287633.5625,49807937934
2015-07-01,290646.03125,296674.4375,286461.78125,294532.9375,30376900134
2015-07-02,286533.96875,293576.15625,284330.375,290568.5,24177999015
2015-07-03,287506.46875,287851.6875,284158.84375,286586.6875,21348310080
2015-07-04,292609.71875,293250.1875,285110.71875,287680.3125,17519840640
2015-07-05,304855.25,307885.9375,290159.03125,292518.875,49505611515
